id,model_name,layer,file_path,materialization,unique_key,description,grain,source_tables,ref_models,joins,filters,column_count,scanned_at
M073,stg_sap__mara,staging,models\staging\stg_sap__mara.sql,view,,Staging: MARA — Material General Data,,raw_sap.mara,,,,13,2026-07-07 11:52
M074,stg_sap__marc,staging,models\staging\stg_sap__marc.sql,view,,Staging: MARC — Material Plant Data,,raw_sap.marc,,,,12,2026-07-07 11:52
M075,stg_sap__mard,staging,models\staging\stg_sap__mard.sql,view,,Staging: MARD — Stock per Storage Location,,raw_sap.mard,,,,8,2026-07-07 11:52
M076,stg_sap__marm,staging,models\staging\stg_sap__marm.sql,view,,Staging: MARM — Material Units of Measure,,raw_sap.marm,,,,6,2026-07-07 11:52
M077,stg_sap__mkpf,staging,models\staging\stg_sap__mkpf.sql,view,,Staging: MKPF — Material Document Header,,raw_sap.mkpf,,,,9,2026-07-07 11:52
M078,stg_sap__mseg,staging,models\staging\stg_sap__mseg.sql,view,,Staging: MSEG — Material Document Item,,raw_sap.mseg,,,,17,2026-07-07 11:52
M079,stg_sap__objk,staging,models\staging\stg_sap__objk.sql,view,,Staging: OBJK — Object List (Serial to Equipment cross-reference),,raw_sap.objk,,,,10,2026-07-07 11:52
M080,stg_sap__rbkp,staging,models\staging\stg_sap__rbkp.sql,view,,Staging: RBKP — Invoice Document Header,,raw_sap.rbkp,,,,12,2026-07-07 11:52
M081,stg_sap__resb,staging,models\staging\stg_sap__resb.sql,view,,Staging: RESB — Reservation Item,,raw_sap.resb,,,,10,2026-07-07 11:52
M082,stg_sap__rkpf,staging,models\staging\stg_sap__rkpf.sql,view,,Staging: RKPF — Reservation Header,,raw_sap.rkpf,,,,6,2026-07-07 11:52
M083,stg_sap__rseg,staging,models\staging\stg_sap__rseg.sql,view,,Staging: RSEG — Invoice Document Item,,raw_sap.rseg,,,,11,2026-07-07 11:52
M084,stg_sap__ser01,staging,models\staging\stg_sap__ser01.sql,view,,Staging: SER01 — Serial Number Document Header (PO reference),,raw_sap.ser01,,,,10,2026-07-07 11:52
M085,stg_sap__ser03,staging,models\staging\stg_sap__ser03.sql,view,,Staging: SER03 — Serial Number Document Header (Material Document reference),,raw_sap.ser03,,,,10,2026-07-07 11:52
M086,stg_sap__seri,staging,models\staging\stg_sap__seri.sql,view,,Staging: SERI — Serial Number Assignments,,raw_sap.seri,,,,9,2026-07-07 11:52
M087,stg_sap__t001,staging,models\staging\stg_sap__t001.sql,view,,1:1 staging of T001 (Company Codes). Reference table.,,raw_sap.t001,,,,8,2026-07-07 11:52
M088,stg_sap__t001l,staging,models\staging\stg_sap__t001l.sql,view,,1:1 staging of T001L (Storage Locations). Reference table.,,raw_sap.t001l,,,,5,2026-07-07 11:52
M089,stg_sap__t001w,staging,models\staging\stg_sap__t001w.sql,view,,1:1 staging of T001W (Plants). Reference table.,,raw_sap.t001w,,,,7,2026-07-07 11:52
M090,stg_sap__t023,staging,models\staging\stg_sap__t023.sql,view,,1:1 staging of T023 (Material Groups). Reference table.,,raw_sap.t023,,,,4,2026-07-07 11:52
M091,stg_sap__t024,staging,models\staging\stg_sap__t024.sql,view,,1:1 staging of T024 (Purchasing Groups). Reference table.,,raw_sap.t024,,,,4,2026-07-07 11:52
M092,stg_sap__t024e,staging,models\staging\stg_sap__t024e.sql,view,,1:1 staging of T024E (Purchasing Organizations). Reference table.,,raw_sap.t024e,,,,6,2026-07-07 11:52
M093,stg_sap__t156,staging,models\staging\stg_sap__t156.sql,view,,Staging: T156 — Movement Type Configuration (SAP-native).,,raw_sap.t156,,,,6,2026-07-07 11:52
M094,stg_sap__t156t,staging,models\staging\stg_sap__t156t.sql,view,,Staging: T156T — Movement Type Text (SAP-native).,,raw_sap.t156t,,,,6,2026-07-07 11:52
M095,stg_sap__vbak,staging,models\staging\stg_sap__vbak.sql,view,,Staging: VBAK — Sales Document Header (SD),,raw_sap.vbak,,,,12,2026-07-07 11:52
M096,stg_sap__vbap,staging,models\staging\stg_sap__vbap.sql,view,,Staging: VBAP — Sales Document Item (SD),,raw_sap.vbap,,,,12,2026-07-07 11:52
M097,stg_sap__vbrk,staging,models\staging\stg_sap__vbrk.sql,view,,Staging: VBRK — Billing Document Header (SD),,raw_sap.vbrk,,,,15,2026-07-07 11:52
M098,stg_sap__vbrp,staging,models\staging\stg_sap__vbrp.sql,view,,Staging: VBRP — Billing Document Item (SD),,raw_sap.vbrp,,,,14,2026-07-07 11:52
M099,stg_sap__zmm_approval_log,staging,models\staging\stg_sap__zmm_approval_log.sql,view,,Staging: ZMM_APPROVAL_LOG — Custom approval-event Z-table.,,raw_sap.zmm_approval_log,,,,13,2026-07-07 11:52
M100,stg_sap__zmm_material_business,staging,models\staging\stg_sap__zmm_material_business.sql,view,,Staging: ZMM_MATERIAL_BUSINESS — HT-domain material business enrichment.,,raw_sap.zmm_material_business,,,,6,2026-07-07 11:52
M101,stg_sap__zmm_vendor_business,staging,models\staging\stg_sap__zmm_vendor_business.sql,view,,Staging: ZMM_VENDOR_BUSINESS — HT-domain vendor business enrichment.,,raw_sap.zmm_vendor_business,,,,7,2026-07-07 11:52
M102,hub_accounting_document,vault,models\vault\hub_accounting_document.sql,incremental,hk_accounting_document,Hub: Accounting Document (FI journal entry — WE / RE / RV),,,stg_sap__bkpf,,,6,2026-07-07 11:52
M103,hub_billing_document,vault,models\vault\hub_billing_document.sql,incremental,hk_billing_doc,Hub: Billing Document (monthly service invoice),,,stg_sap__vbrk,,,4,2026-07-07 11:52
M104,hub_customer,vault,models\vault\hub_customer.sql,incremental,hk_customer,Hub: Customer,,,stg_sap__kna1,,,4,2026-07-07 11:52
M105,hub_equipment,vault,models\vault\hub_equipment.sql,incremental,hk_equipment,Hub: Equipment (individual CPE device),,,stg_sap__equi,,,4,2026-07-07 11:52
M106,hub_invoice,vault,models\vault\hub_invoice.sql,incremental,hk_invoice,Hub: Invoice,,,stg_sap__rbkp,,,5,2026-07-07 11:52
M107,hub_material,vault,models\vault\hub_material.sql,incremental,hk_material,Hub: Material,,,stg_sap__mara,,,4,2026-07-07 11:52
M108,hub_material_document,vault,models\vault\hub_material_document.sql,incremental,hk_material_document,Hub: Material Document,,,stg_sap__mkpf,,,5,2026-07-07 11:52
M109,hub_movement_type,vault,models\vault\hub_movement_type.sql,incremental,hk_movement_type,Hub: Movement Type,,,stg_sap__t156,,,4,2026-07-07 11:52
M110,hub_plant,vault,models\vault\hub_plant.sql,incremental,hk_plant,Hub: Plant,,,stg_sap__t001w,,,4,2026-07-07 11:52
M111,hub_purchase_order,vault,models\vault\hub_purchase_order.sql,incremental,hk_purchase_order,Hub: Purchase Order,,,stg_sap__ekko,,,4,2026-07-07 11:52
M112,hub_purchase_requisition,vault,models\vault\hub_purchase_requisition.sql,incremental,hk_purchase_requisition,Hub: Purchase Requisition,,,stg_sap__eban,,,4,2026-07-07 11:52
M113,hub_sales_order,vault,models\vault\hub_sales_order.sql,incremental,hk_sales_order,Hub: Sales Order (service contract),,,stg_sap__vbak,,,4,2026-07-07 11:52
M114,hub_service_plan,vault,models\vault\hub_service_plan.sql,incremental,hk_service_plan,Hub: Service Plan (broadband / IPTV / business subscription),,,stg_sap__vbap,,,4,2026-07-07 11:52
M115,hub_vendor,vault,models\vault\hub_vendor.sql,incremental,hk_vendor,Hub: Vendor,,,stg_sap__lfa1,,,4,2026-07-07 11:52
M116,hub_zmm_approval,vault,models\vault\hub_zmm_approval.sql,incremental,hk_zmm_approval,Hub: ZMM Approval (custom Z-table approval events),,,stg_sap__zmm_approval_log,,,4,2026-07-07 11:52
M117,link_billing_accounting,vault,models\vault\link_billing_accounting.sql,incremental,hk_billing_accounting,"FI Link 2/3: SD Billing ↔ Accounting Document (revenue side, BLART='RV')",,,stg_sap__bkpf; stg_sap__vbrk,INNER JOIN JINJA_EXPR,"b.BLART = 'RV'
)

SELECT * FROM src
JINJA_EXPR",7,2026-07-07 11:52
M118,link_billing_customer,vault,models\vault\link_billing_customer.sql,incremental,hk_billing_customer,Link: Billing Document ↔ Customer (who is billed — payer),,,stg_sap__vbrk,,,6,2026-07-07 11:52
M119,link_billing_sales_order,vault,models\vault\link_billing_sales_order.sql,incremental,hk_billing_sales_order,Link: Billing Document ↔ Sales Order (bill back to the contract),,,stg_sap__vbrp,,"AUBEL IS NOT NULL; AUBEL != ''
)

SELECT * FROM src
JINJA_EXPR",6,2026-07-07 11:52
M120,link_equipment_gr,vault,models\vault\link_equipment_gr.sql,incremental,hk_equipment_gr,Link: Equipment ↔ Material Document (GR),,,stg_sap__seri; stg_sap__mkpf,INNER JOIN JINJA_EXPR,"s.EQUNR IS NOT NULL; s.EQUNR != ''
)

SELECT
    hk_equipment_gr,
    hk_equipment,
    hk_material_document,
    equipme",8,2026-07-07 11:52
M121,link_equipment_material,vault,models\vault\link_equipment_material.sql,incremental,hk_equipment_material,Link: Equipment ↔ Material,,,stg_sap__equi,,,7,2026-07-07 11:52
M122,link_gr_accounting,vault,models\vault\link_gr_accounting.sql,incremental,hk_gr_accounting,"FI Link 3/3: Goods Receipt ↔ Accounting Document (inventory side, BLART='WE')",,,stg_sap__bkpf; stg_sap__mkpf,INNER JOIN JINJA_EXPR,"b.BLART = 'WE'
)

SELECT * FROM src
JINJA_EXPR",7,2026-07-07 11:52
M123,link_gr_material,vault,models\vault\link_gr_material.sql,incremental,hk_gr_material,Link: Goods Receipt ↔ Material,,,stg_sap__mseg,,,8,2026-07-07 11:52
M124,link_gr_po,vault,models\vault\link_gr_po.sql,incremental,hk_gr_po,Link: Goods Receipt (Material Document) ↔ Purchase Order,,,stg_sap__mseg,,"EBELN IS NOT NULL; EBELN != ''
)

SELECT
    hk_gr_po,
    hk_material_document,
    hk_purchase_order,
    material_do",8,2026-07-07 11:52
M125,link_invoice_accounting,vault,models\vault\link_invoice_accounting.sql,incremental,hk_invoice_accounting,"FI Link 1/3: MM Invoice ↔ Accounting Document (cost side, BLART='RE')",,,stg_sap__bkpf; stg_sap__rbkp,INNER JOIN JINJA_EXPR,"b.BLART = 'RE'
)

SELECT * FROM src
JINJA_EXPR",7,2026-07-07 11:52
M126,link_invoice_po,vault,models\vault\link_invoice_po.sql,incremental,hk_invoice_po,Link: Invoice ↔ Purchase Order,,,stg_sap__rbkp,,"EBELN IS NOT NULL; EBELN != ''
)

SELECT
    hk_invoice_po,
    hk_invoice,
    hk_purchase_order,
    invoice_number,
",8,2026-07-07 11:52
M127,link_po_item,vault,models\vault\link_po_item.sql,incremental,hk_po_item,Link: Purchase Order Item,,,stg_sap__ekpo,,hk_po_item NOT IN (SELECT hk_po_item FROM JINJA_EXPR),6,2026-07-07 11:52
M128,link_po_material,vault,models\vault\link_po_material.sql,incremental,hk_po_material,Link: Purchase Order ↔ Material (PO line item level),,,stg_sap__ekpo,,,8,2026-07-07 11:52
M129,link_po_plant,vault,models\vault\link_po_plant.sql,incremental,hk_po_plant,Link: Purchase Order ↔ Plant,,,stg_sap__ekpo,,,7,2026-07-07 11:52
M130,link_po_vendor,vault,models\vault\link_po_vendor.sql,incremental,hk_po_vendor,Link: Purchase Order ↔ Vendor,,,stg_sap__ekko,,,7,2026-07-07 11:52
M131,link_pr_po,vault,models\vault\link_pr_po.sql,incremental,hk_pr_po,Link: Purchase Requisition ↔ Purchase Order,,,stg_sap__ekpo,,"BANFN IS NOT NULL; BANFN != ''
)

SELECT
    hk_pr_po,
    hk_purchase_requisition,
    hk_purchase_order,
    requisit",7,2026-07-07 11:52
M132,link_sales_order_customer,vault,models\vault\link_sales_order_customer.sql,incremental,hk_sales_order_customer,Link: Sales Order ↔ Customer (who holds the contract),,,stg_sap__vbak,,,6,2026-07-07 11:52
M133,link_sales_order_equipment,vault,models\vault\link_sales_order_equipment.sql,incremental,hk_so_equipment,Link: Sales Order Item ↔ Equipment (the marquee tie),,,stg_sap__vbap; stg_sap__equi,INNER JOIN JINJA_EXPR,,11,2026-07-07 11:52
M134,sat_accounting_header,vault,models\vault\sat_accounting_header.sql,incremental,hk_accounting_document; load_date,Satellite: Accounting Document Header (FI journal — WE / RE / RV),,,stg_sap__bkpf,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_accounting_document = src.hk_accounting_d; t.hashdiff = src.hashdiff
)",11,2026-07-07 11:52
M135,sat_billing_document,vault,models\vault\sat_billing_document.sql,incremental,hk_billing_doc; load_date,Satellite: Billing Document (monthly service invoice),,,stg_sap__vbrk,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_billing_doc = src.hk_billing_doc; t.hashdiff = src.hashdiff
)",12,2026-07-07 11:52
M136,sat_customer,vault,models\vault\sat_customer.sql,incremental,hk_customer; load_date,Satellite: Customer,,,stg_sap__kna1,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_customer = src.hk_customer; t.hashdiff = src.hashdiff
)",11,2026-07-07 11:52
M137,sat_equipment_general,vault,models\vault\sat_equipment_general.sql,incremental,hk_equipment; load_date,Satellite: Equipment General (static device info),,,stg_sap__equi,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_equipment = src.hk_equipment; t.hashdiff = src.hashdiff
)",12,2026-07-07 11:52
M138,sat_equipment_status,vault,models\vault\sat_equipment_status.sql,incremental,hk_equipment; status_from_date,Satellite: Equipment Status History (SCD2 — lifecycle),,,stg_sap__eqbs,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_equipment = src.hk_equipment; t.status_from_date = src.status_from_date; t.hashdiff = src.hashdiff
)",7,2026-07-07 11:52
M139,sat_gr_header,vault,models\vault\sat_gr_header.sql,incremental,hk_material_document; load_date,Satellite: GR / Material Document Header,,,stg_sap__mkpf,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_material_document = src.hk_material_docum; t.hashdiff = src.hashdiff
)",9,2026-07-07 11:52
M140,sat_gr_item,vault,models\vault\sat_gr_item.sql,incremental,hk_gr_material; load_date,Satellite: Material Document Item,,,stg_sap__mseg,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_gr_material = src.hk_gr_material; t.hashdiff = src.hashdiff
)",15,2026-07-07 11:52
M141,sat_invoice_header,vault,models\vault\sat_invoice_header.sql,incremental,hk_invoice; load_date,Satellite: Invoice Header,,,stg_sap__rbkp,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_invoice = src.hk_invoice; t.hashdiff = src.hashdiff
)",12,2026-07-07 11:52
M142,sat_invoice_item,vault,models\vault\sat_invoice_item.sql,incremental,hk_invoice; invoice_line_item; load_date,Satellite: Invoice Item (RSEG line-item details),,,stg_sap__rseg,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_invoice = src.hk_invoice; t.invoice_line_item = src.invoice_line_item; t.hashdiff = src.hashdiff
)",12,2026-07-07 11:52
M143,sat_material_business,vault,models\vault\sat_material_business.sql,incremental,hk_material; load_date,Satellite: Material Business Enrichment (HT-domain),,,stg_sap__zmm_material_business,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_material = src.hk_material; t.hashdiff = src.hashdiff
)",7,2026-07-07 11:52
M144,sat_material_description,vault,models\vault\sat_material_description.sql,incremental,hk_material; load_date,Satellite: Material Descriptions (English only for MVP),,,stg_sap__makt,,"SPRAS = 'E'
)

SELECT * FROM src

WHERE NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_m; t.hashdiff = src.hashdiff
)",6,2026-07-07 11:52
M145,sat_material_general,vault,models\vault\sat_material_general.sql,incremental,hk_material; load_date,Satellite: Material General Data,,,stg_sap__mara,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_material = src.hk_material; t.hashdiff = src.hashdiff
)",13,2026-07-07 11:52
M146,sat_material_plant,vault,models\vault\sat_material_plant.sql,incremental,hk_material_plant; load_date,"Satellite: Material Plant-Level Data (MRP settings, serial profile, lead time)",,,stg_sap__marc,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_material_plant = src.hk_material_plant; t.hashdiff = src.hashdiff
)",13,2026-07-07 11:52
M147,sat_movement_type,vault,models\vault\sat_movement_type.sql,incremental,hk_movement_type; load_date,Satellite: Movement Type Configuration,,,stg_sap__t156,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_movement_type = src.hk_movement_type; t.hashdiff = src.hashdiff
)",7,2026-07-07 11:52
M148,sat_movement_type_text,vault,models\vault\sat_movement_type_text.sql,incremental,hk_movement_type; spras; load_date,Satellite: Movement Type Text (multi-language),,,stg_sap__t156t,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_movement_type = src.hk_movement_type; t.spras = src.spras; t.hashdiff = src.hashdiff
)",8,2026-07-07 11:52
M149,sat_po_account,vault,models\vault\sat_po_account.sql,incremental,hk_po_item; load_date,Satellite: PO Account Assignment,,,stg_sap__ekkn,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_po_item = src.hk_po_item; t.hashdiff = src.hashdiff
)",7,2026-07-07 11:52
M150,sat_po_header,vault,models\vault\sat_po_header.sql,incremental,hk_purchase_order; load_date,Satellite: PO Header,,,stg_sap__ekko,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_purchase_order = src.hk_purchase_order; t.hashdiff = src.hashdiff
)",15,2026-07-07 11:52
M151,sat_po_item,vault,models\vault\sat_po_item.sql,incremental,hk_po_material; load_date,Satellite: PO Item Details,,,stg_sap__ekpo,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_po_material = src.hk_po_material; t.hashdiff = src.hashdiff
)",13,2026-07-07 11:52
M152,sat_po_schedule,vault,models\vault\sat_po_schedule.sql,incremental,hk_po_item; load_date,Satellite: PO Delivery Schedule,,,stg_sap__eket,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_po_item = src.hk_po_item; t.hashdiff = src.hashdiff
)",8,2026-07-07 11:52
M153,sat_pr_detail,vault,models\vault\sat_pr_detail.sql,incremental,hk_purchase_requisition; load_date,Satellite: Purchase Requisition Detail,,,stg_sap__eban,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_purchase_requisition = src.hk_purchase_re; t.hashdiff = src.hashdiff
)",17,2026-07-07 11:52
M154,sat_sales_order,vault,models\vault\sat_sales_order.sql,incremental,hk_sales_order; load_date,Satellite: Sales Order (contract header),,,stg_sap__vbak,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_sales_order = src.hk_sales_order; t.hashdiff = src.hashdiff
)",12,2026-07-07 11:52
M155,sat_sales_order_item,vault,models\vault\sat_sales_order_item.sql,incremental,hk_so_equipment; load_date,Satellite: Sales Order Item (service line + device),,,stg_sap__vbap,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_so_equipment = src.hk_so_equipment; t.hashdiff = src.hashdiff
)",11,2026-07-07 11:52
M156,sat_service_plan,vault,models\vault\sat_service_plan.sql,incremental,hk_service_plan; load_date,Satellite: Service Plan,,,stg_sap__vbap,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_service_plan = src.hk_service_plan; t.hashdiff = src.hashdiff
)",5,2026-07-07 11:52
M157,sat_stock_level,vault,models\vault\sat_stock_level.sql,incremental,hk_stock_location; load_date,Satellite: Stock Levels,,,stg_sap__mard,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_stock_location = src.hk_stock_location; t.hashdiff = src.hashdiff
)",10,2026-07-07 11:52
M158,sat_vendor_business,vault,models\vault\sat_vendor_business.sql,incremental,hk_vendor; load_date,Satellite: Vendor Business Enrichment (HT-domain),,,stg_sap__zmm_vendor_business,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_vendor = src.hk_vendor; t.hashdiff = src.hashdiff
)",8,2026-07-07 11:52
M159,sat_vendor_commercial,vault,models\vault\sat_vendor_commercial.sql,incremental,hk_vendor; load_date,"Satellite: Vendor Commercial Data (payment terms, recon account)",,,stg_sap__lfb1,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_vendor = src.hk_vendor; t.hashdiff = src.hashdiff
)",8,2026-07-07 11:52
M160,sat_vendor_general,vault,models\vault\sat_vendor_general.sql,incremental,hk_vendor; load_date,Satellite: Vendor General Data,,,stg_sap__lfa1,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_vendor = src.hk_vendor; t.hashdiff = src.hashdiff
)",12,2026-07-07 11:52
M161,sat_zmm_approval,vault,models\vault\sat_zmm_approval.sql,incremental,hk_zmm_approval; load_date,Satellite: ZMM Approval Attributes,,,stg_sap__zmm_approval_log,,"NOT EXISTS (
    SELECT 1 FROM JINJA_EXPR t
    WHERE t.hk_zmm_approval = src.hk_zmm_approval; t.hashdiff = src.hashdiff
)",14,2026-07-07 11:52
