fact_id,category,scope_layer,scope_tables,fact_plain,fact_technical,evidence_sql,evidence_result_json,evidence_result_summary,evidence_refreshed_at,discovered_at,discovered_by,confidence,stale_after_days,auto_inject,priority_score,status,superseded_by
DF-0001,currency,staging,ekko,All purchase orders in the system use EUR currency exclusively. No other currencies are present in the procurement data.,"WAERS field in stg_sap__ekko shows 100% EUR currency across all 2,200 purchase order headers. No currency diversity detected.","SELECT WAERS, COUNT(*) AS po_count, ROUND(100.0*COUNT(*)/SUM(COUNT(*)) OVER(), 2) AS pct FROM main_staging.stg_sap__ekko GROUP BY WAERS ORDER BY po_count DESC","[{""WAERS"": ""EUR"", ""po_count"": 2200, ""pct"": 100.0}]",1 rows (no drift),2026-07-06T10:03:31Z,2026-04-17,guided_domain_llm,high,30,True,95,active,
DF-0002,cardinality,staging,"t001w,mseg","The organization has 4 active plants with material movements, concentrated heavily in Zagreb Central Warehouse which handles 50% of all movements, while the three regional warehouses split the remainder.","Plant cardinality from t001w/mseg join shows 4 distinct WERKS values: HT10 (Zagreb, 15,473 movements), HT20 (Split, 9,354), HT40 (Rijeka, 3,668), HT30 (Osijek, 3,468). Total 31,963 movements with 48.4% concentration in HT10.","SELECT t.WERKS, t.NAME1 AS plant_name, COUNT(m.MBLNR) AS movement_count FROM main_staging.stg_sap__t001w t LEFT JOIN main_staging.stg_sap__mseg m ON t.WERKS = m.WERKS GROUP BY t.WERKS, t.NAME1 ORDER BY movement_count DESC","[{""WERKS"": ""HT10"", ""plant_name"": ""Zagreb Central Warehouse"", ""movement_count"": 15473}, {""WERKS"": ""HT20"", ""plant_name"": ""Split Regional Warehouse"", ""movement_count"": 9354}, {""WERKS"": ""HT40"", ""plant_name"": ""Rijeka Regional Warehouse"", ""movement_count"": 3668}, {""WERKS"": ""HT30"", ""plant_name"": ""Osijek Regional Warehouse"", ""movement_count"": 3468}]",4 rows (noise-drift refresh),2026-07-06T10:03:34Z,2026-04-17,guided_domain_llm,high,90,True,85,active,
DF-0003,naming_convention,staging,mara,"All material numbers in the system use the CPE prefix, indicating a standardized naming convention for procurement materials.",100% of materials in stg_sap__mara.MATNR use prefix 'CPE' (10 total materials). Single-prefix convention suggests either filtered dataset or highly standardized material numbering scheme.,"SELECT SUBSTR(MATNR, 1, 3) AS prefix, COUNT(*) AS n FROM main_staging.stg_sap__mara GROUP BY prefix ORDER BY n DESC","[{""prefix"": ""CPE"", ""n"": 10}]",1 rows (no drift),2026-07-06T10:03:34Z,2026-04-17,guided_domain_llm,medium,90,True,85,active,
DF-0004,value_domain,staging,mseg,"Material movements are dominated by movement type 201 which represents 84% of all transactions, with only three other types (161, 101, 122) making up the remaining 16%.","MSEG.BWART shows 4 distinct movement types: 201 (84.47%, n=27000), 161 (6.76%, n=2160), 101 (6.74%, n=2155), and 122 (2.03%, n=648) out of 31,963 total records in stg_sap__mseg.","SELECT BWART, COUNT(*) AS n, ROUND(100.0*COUNT(*)/SUM(COUNT(*)) OVER(), 2) AS pct FROM main_staging.stg_sap__mseg GROUP BY BWART ORDER BY n DESC","[{""BWART"": ""201"", ""n"": 27000, ""pct"": 84.47}, {""BWART"": ""161"", ""n"": 2160, ""pct"": 6.76}, {""BWART"": ""101"", ""n"": 2155, ""pct"": 6.74}, {""BWART"": ""122"", ""n"": 648, ""pct"": 2.03}]",4 rows (noise-drift refresh),2026-07-06T10:03:37Z,2026-04-17,guided_domain_llm,high,30,True,88,active,
DF-0005,temporal_pattern,staging,"ekko,mkpf,mseg","Purchase orders span fiscal years 2024-2026, with most activity in 2025. Material movements show similar timing but much higher volumes, peaking at over 18,000 records in 2025.","EKKO purchase orders: 994 records (FY2024), 1116 records (FY2025), 90 records (FY2026) based on BEDAT. MSEG material movements: 10,061 records (FY2024), 18,759 records (FY2025), 3,143 records (FY2026) based on MKPF.BUDAT. Data spans 3 fiscal years with peak activity in 2025.","SELECT 'EKKO' as table_name, EXTRACT(YEAR FROM BEDAT) as fiscal_year, COUNT(*) as records FROM main_staging.stg_sap__ekko GROUP BY EXTRACT(YEAR FROM BEDAT) UNION ALL SELECT 'MSEG' as table_name, EXTRACT(YEAR FROM BUDAT) as fiscal_year, COUNT(*) as records FROM main_staging.stg_sap__mkpf mkpf JOIN main_staging.stg_sap__mseg mseg ON mkpf.MBLNR = mseg.MBLNR AND mkpf.MJAHR = mseg.MJAHR GROUP BY EXTRACT(YEAR FROM mkpf.BUDAT) ORDER BY table_name, fiscal_year","[{""table_name"": ""EKKO"", ""fiscal_year"": 2024, ""records"": 994}, {""table_name"": ""EKKO"", ""fiscal_year"": 2025, ""records"": 1116}, {""table_name"": ""EKKO"", ""fiscal_year"": 2026, ""records"": 90}, {""table_name"": ""MSEG"", ""fiscal_year"": 2024, ""records"": 10061}, {""table_name"": ""MSEG"", ""fiscal_year"": 2025, ""records"": 18759}, {""table_name"": ""MSEG"", ""fiscal_year"": 2026, ""records"": 3143}]",6 rows (noise-drift refresh),2026-07-06T10:03:40Z,2026-04-18,guided_domain_llm,high,7,True,85,active,
DF-0006,naming_convention,staging,"mara,makt,marc","All material numbers follow a consistent CPE-XXX-NNN naming pattern, where XXX represents the product category (MDM, ONT, RTR, STB, SWT) and NNN is a sequential number.","Material numbers in mara.MATNR follow the pattern 'CPE-{category}-{sequence}' where category includes MDM, ONT, RTR, STB, SWT and sequence is 3-digit zero-padded. All observed materials have descriptions in makt and plant views in marc with consistent plant_count of 4.","SELECT mara.MATNR, CASE WHEN makt.MATNR IS NOT NULL THEN 'Y' ELSE 'N' END as has_description, CASE WHEN marc.MATNR IS NOT NULL THEN 'Y' ELSE 'N' END as has_plant_view, COUNT(DISTINCT marc.WERKS) as plant_count FROM main_staging.stg_sap__mara mara LEFT JOIN main_staging.stg_sap__makt makt ON mara.MATNR = makt.MATNR LEFT JOIN main_staging.stg_sap__marc marc ON mara.MATNR = marc.MATNR GROUP BY mara.MATNR, has_description, has_plant_view ORDER BY mara.MATNR","[{""MATNR"": ""CPE-MDM-001"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-ONT-001"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-ONT-002"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-ONT-003"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-RTR-001"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-RTR-002"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-RTR-003"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-STB-001"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-STB-002"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}, {""MATNR"": ""CPE-SWT-001"", ""has_description"": ""Y"", ""has_plant_view"": ""Y"", ""plant_count"": 4}]",10 rows (no drift),2026-07-06T10:03:40Z,2026-04-18,guided_domain_llm,high,90,True,85,active,
DF-0007,cardinality,staging,"ekko,ekpo","The procurement data shows 8 distinct vendors operating across 4 plants, with vendor 0000100001 dominating spend across all locations, representing roughly 70% of total purchase order value.","Query shows 8 distinct LIFNR values (0000100001-0000100008) and 4 distinct WERKS values (HT10,HT20,HT30,HT40) in ekko/ekpo joins. Vendor 0000100001 accounts for 1,473 POs totaling 28,568,742.10 value units across all plants (HT10: 737 POs/14,426,223.85; HT20: 316 POs/5,926,602.15; HT30: 222 POs/4,119,089.45; HT40: 198 POs/4,096,826.65), while remaining 7 vendors total approximately 12M value units combined.","SELECT ekko.LIFNR, ekpo.WERKS, COUNT(DISTINCT ekko.EBELN) as po_count, SUM(ekpo.NETWR) as total_value FROM main_staging.stg_sap__ekko ekko JOIN main_staging.stg_sap__ekpo ekpo ON ekko.EBELN = ekpo.EBELN GROUP BY ekko.LIFNR, ekpo.WERKS ORDER BY total_value DESC","[{""LIFNR"": ""0000100001"", ""WERKS"": ""HT10"", ""po_count"": 737, ""total_value"": 14426223.85}, {""LIFNR"": ""0000100001"", ""WERKS"": ""HT20"", ""po_count"": 316, ""total_value"": 5926602.15}, {""LIFNR"": ""0000100001"", ""WERKS"": ""HT30"", ""po_count"": 222, ""total_value"": 4119089.45}, {""LIFNR"": ""0000100001"", ""WERKS"": ""HT40"", ""po_count"": 198, ""total_value"": 4096826.65}, {""LIFNR"": ""0000100003"", ""WERKS"": ""HT10"", ""po_count"": 83, ""total_value"": 1108118.75}, {""LIFNR"": ""0000100004"", ""WERKS"": ""HT10"", ""po_count"": 113, ""total_value"": 616411.1}, {""LIFNR"": ""0000100008"", ""WERKS"": ""HT10"", ""po_count"": 69, ""total_value"": 532263.75}, {""LIFNR"": ""0000100002"", ""WERKS"": ""HT10"", ""po_count"": 28, ""total_value"": 479687.3}, {""LIFNR"": ""0000100003"", ""WERKS"": ""HT20"", ""po_count"": 38, ""total_value"": 479145.15}, {""LIFNR"": ""0000100005"", ""WERKS"": ""HT10"", ""po_count"": 30, ""total_value"": 458025.7}, {""LIFNR"": ""0000100006"", ""WERKS"": ""HT10"", ""po_count"": 24, ""total_value"": 316688.6}, {""LIFNR"": ""0000100003"", ""WERKS"": ""HT30"", ""po_count"": 24, ""total_value"": 277881.7}, {""LIFNR"": ""0000100004"", ""WERKS"": ""HT20"", ""po_count"": 38, ""total_value"": 238153.85}, {""LIFNR"": ""0000100006"", ""WERKS"": ""HT40"", ""po_count"": 7, ""total_value"": 227979.0}, {""LIFNR"": ""0000100002"", ""WERKS"": ""HT40"", ""po_count"": 12, ""total_value"": 224334.25}, {""LIFNR"": ""0000100005"", ""WERKS"": ""HT20"", ""po_count"": 17, ""total_value"": 216240.15}, {""LIFNR"": ""0000100008"", ""WERKS"": ""HT20"", ""po_count"": 23, ""total_value"": 193995.45}, {""LIFNR"": ""0000100003"", ""WERKS"": ""HT40"", ""po_count"": 20, ""total_value"": 185801.5}, {""LIFNR"": ""0000100005"", ""WERKS"": ""HT30"", ""po_count"": 4, ""total_value"": 181801.0}, {""LIFNR"": ""0000100002"", ""WERKS"": ""HT20"", ""po_count"": 11, ""total_value"": 164087.7}, {""LIFNR"": ""0000100004"", ""WERKS"": ""HT30"", ""po_count"": 37, ""total_value"": 148772.35}, {""LIFNR"": ""0000100007"", ""WERKS"": ""HT10"", ""po_count"": 22, ""total_value"": 138731.05}, {""LIFNR"": ""0000100008"", ""WERKS"": ""HT30"", ""po_count"": 22, ""total_value"": 128849.45}, {""LIFNR"": ""0000100006"", ""WERKS"": ""HT30"", ""po_count"": 11, ""total_value"": 127602.0}, {""LIFNR"": ""0000100008"", ""WERKS"": ""HT40"", ""po_count"": 21, ""total_value"": 96684.55}, {""LIFNR"": ""0000100006"", ""WERKS"": ""HT20"", ""po_count"": 10, ""total_value"": 95664.0}, {""LIFNR"": ""0000100005"", ""WERKS"": ""HT40"", ""po_count"": 10, ""total_value"": 91151.1}, {""LIFNR"": ""0000100002"", ""WERKS"": ""HT30"", ""po_count"": 6, ""total_value"": 88731.7}, {""LIFNR"": ""0000100004"", ""WERKS"": ""HT40"", ""po_count"": 29, ""total_value"": 75541.1}, {""LIFNR"": ""0000100007"", ""WERKS"": ""HT20"", ""po_count"": 6, ""total_value"": 31935.55}, {""LIFNR"": ""0000100007"", ""WERKS"": ""HT40"", ""po_count"": 7, ""total_value"": 27714.95}, {""LIFNR"": ""0000100007"", ""WERKS"": ""HT30"", ""po_count"": 5, ""total_value"": 24670.75}]",32 rows (noise-drift refresh),2026-07-06T10:03:44Z,2026-04-18,guided_domain_llm,high,90,True,85,active,
DF-0008,value_domain,staging,ekko,"All purchase orders in the system use processing status 05, indicating a single standardized status across the entire procurement process.","EKKO.PROCSTAT shows 100% concentration in value '05' across 2,200 purchase orders, with no other processing status codes present in the dataset.","SELECT PROCSTAT, COUNT(*) as po_count, ROUND(100.0*COUNT(*)/SUM(COUNT(*)) OVER(), 2) as pct FROM main_staging.stg_sap__ekko WHERE PROCSTAT IS NOT NULL GROUP BY PROCSTAT ORDER BY po_count DESC","[{""PROCSTAT"": ""05"", ""po_count"": 2200, ""pct"": 100.0}]",1 rows (no drift),2026-07-06T10:03:44Z,2026-04-18,guided_domain_llm,high,30,True,75,active,
DF-0009,null_pattern,staging,mseg,"Serial number tracking is consistently used across all major inventory movement types, with 100% of goods receipts, transfers, and other key movements having serial numbers populated.","In stg_sap__mseg, serial number field SERNP shows 100% population across top movement types: 201 (27,000 records), 161 (2,160 records), 101 (2,155 records), and 122 (648 records). No null or empty SERNP values found in these high-volume BWART codes.","SELECT mseg.BWART, COUNT(*) as total_movements, SUM(CASE WHEN mseg.SERNP IS NOT NULL AND mseg.SERNP != '' THEN 1 ELSE 0 END) as with_serial, ROUND(100.0*SUM(CASE WHEN mseg.SERNP IS NOT NULL AND mseg.SERNP != '' THEN 1 ELSE 0 END)/COUNT(*), 2) as serial_pct FROM main_staging.stg_sap__mseg mseg GROUP BY mseg.BWART ORDER BY total_movements DESC","[{""BWART"": ""201"", ""total_movements"": 27000, ""with_serial"": 27000.0, ""serial_pct"": 100.0}, {""BWART"": ""161"", ""total_movements"": 2160, ""with_serial"": 2160.0, ""serial_pct"": 100.0}, {""BWART"": ""101"", ""total_movements"": 2155, ""with_serial"": 2155.0, ""serial_pct"": 100.0}, {""BWART"": ""122"", ""total_movements"": 648, ""with_serial"": 648.0, ""serial_pct"": 100.0}]",4 rows (noise-drift refresh),2026-07-06T10:03:46Z,2026-04-18,guided_domain_llm,high,30,True,75,active,
DF-0010,referential_integrity,staging,"mseg,equi","All materials in the system have both inventory movements and associated equipment records, showing perfect alignment between materials management and equipment tracking.","FULL OUTER JOIN between stg_sap__mseg.MATNR and stg_sap__equi.MATNR shows 100% overlap: 10 distinct materials with movements, 10 distinct materials with equipment, and 10 overlapping materials (10/10 = 100% referential coverage).","SELECT COUNT(DISTINCT mseg.MATNR) as materials_with_movements, COUNT(DISTINCT equi.MATNR) as materials_with_equipment, COUNT(DISTINCT CASE WHEN equi.MATNR IS NOT NULL THEN mseg.MATNR END) as overlapping_materials FROM main_staging.stg_sap__mseg mseg FULL OUTER JOIN main_staging.stg_sap__equi equi ON mseg.MATNR = equi.MATNR","[{""materials_with_movements"": 10, ""materials_with_equipment"": 10, ""overlapping_materials"": 10}]",1 rows (no drift),2026-07-06T10:04:21Z,2026-04-18,guided_domain_llm,low,30,True,75,active,
DF-0011,null_pattern,staging,"ekko,ekpo,mseg","Key procurement fields show complete data coverage with zero null values across purchase order headers, line items, and material movements.","Null analysis across staging tables shows 0.0% null rates: EKKO.LIFNR (vendor) 0/2200 records, EKPO.NETPR (net price) 0/2200 records, MSEG.MENGE (quantity) 0/31963 records.","SELECT 'EKKO_LIFNR' as field_name, COUNT(*) as total_records, SUM(CASE WHEN LIFNR IS NULL THEN 1 ELSE 0 END) as null_count, ROUND(100.0*SUM(CASE WHEN LIFNR IS NULL THEN 1 ELSE 0 END)/COUNT(*), 2) as null_pct FROM main_staging.stg_sap__ekko UNION ALL SELECT 'EKPO_NETPR', COUNT(*), SUM(CASE WHEN NETPR IS NULL THEN 1 ELSE 0 END), ROUND(100.0*SUM(CASE WHEN NETPR IS NULL THEN 1 ELSE 0 END)/COUNT(*), 2) FROM main_staging.stg_sap__ekpo UNION ALL SELECT 'MSEG_MENGE', COUNT(*), SUM(CASE WHEN MENGE IS NULL THEN 1 ELSE 0 END), ROUND(100.0*SUM(CASE WHEN MENGE IS NULL THEN 1 ELSE 0 END)/COUNT(*), 2) FROM main_staging.stg_sap__mseg ORDER BY null_pct DESC","[{""field_name"": ""EKKO_LIFNR"", ""total_records"": 2200, ""null_count"": 0.0, ""null_pct"": 0.0}, {""field_name"": ""EKPO_NETPR"", ""total_records"": 2200, ""null_count"": 0.0, ""null_pct"": 0.0}, {""field_name"": ""MSEG_MENGE"", ""total_records"": 31963, ""null_count"": 0.0, ""null_pct"": 0.0}]",3 rows (noise-drift refresh),2026-07-06T10:04:24Z,2026-04-18,guided_domain_llm,high,30,True,75,active,
