id,business_term_id,business_term_name,source_table,source_field,source_description,target_model,target_column,transformation_logic_plain,transformation_logic_sql,join_description,filter_description,notes,transformation_logic_plain_business
BG027-05,BG027,cpe_active_deployed_count,SERI,SERNR,Serial number master — provides serial number details and links to goods movement documents.,,,"This column carries the serial number value flowing through unchanged from the SAP field SERI.SERNR, representing the count of active deployed CPE units identified by their serial number records.",,,,stage_a_derived,"The number of active Customer Premises Equipment (CPE) units currently deployed and in use at customer locations, tracked by their unique serial numbers."
S2T-0036,BG030,cpe_contribution_margin_by_segment,VBRK,FKSTO,"Billing document header — provides FKSTO (cancellation flag; filter FKSTO='' to exclude cancelled documents per business_filter_description), FKDAT (billing date used as the basis for MIN(FKDAT) per customer to establish the tenure anchor), KUNAG (sold-to party linking to KNA1 for secondary segment attributes), and WAERK (currency). Revenue grain is monthly by billing date.",fact_contribution_margin_by_segment,,"Carries the cancellation status flag directly from SAP field FKSTO on the VBRK billing document header, flowing through staging, vault, and mart layers unchanged.",,,,stage_a_derived,"Whether this billing document has been cancelled, as recorded directly from the original invoice header."
S2T-0037,BG030,cpe_contribution_margin_by_segment,VBRP,NETWR,"Billing document line — provides NETWR (net billed service revenue in EUR, the primary revenue measure), MATNR (service-plan material for CPE filter and service_plan segmentation), MATKL (material group for CPE-% filter), AUBEL/AUPOS (reference back to originating sales order, enabling join to VBAK/VBAP for service plan and device link). Joins to VBRK on VBELN.",fact_contribution_margin_by_segment,,"Carries the net billed service revenue in EUR directly from SAP field VBRP.NETWR through staging, vault, and mart layers unchanged as the primary revenue measure underpinning contribution margin calculations by segment.",,,,stage_a_derived,"The total revenue billed to customers in euros for each service, used as the starting point for calculating how much profit each business segment generates."
S2T-0038,BG030,cpe_contribution_margin_by_segment,VBAK,VBELN,Sales order header — provides KUNNR (customer link to KNA1 for secondary segments KTOKD and ORT01) and AUART/SPART/VTWEG for service plan classification. Needed because VBRP.AUBEL references the sales order number; VBAK bridges the billing line to the customer master.,fact_contribution_margin_by_segment,,"Carries the sales order number directly from VBAK.VBELN, flowing unchanged through staging, vault, and mart layers to link each billing line to its originating sales order header and associated customer, service plan, and segment attributes.",,,,stage_a_derived,"The unique identifier that links each billing charge back to the original sales order it came from, allowing revenue and margin to be traced to the correct customer, service plan, and business segment."
S2T-0039,BG030,cpe_contribution_margin_by_segment,VBAP,MATNR,"Sales order line item — provides MATKL (material group for CPE-% filter), MATNR (service-plan material number driving fiber/TV/cable/business segmentation), and SERNR (serial number of the deployed CPE device). VBAP.SERNR is the entry point into the per-device amortization chain: VBAP.SERNR → SERI.SERNR → SERI.EQUNR → EQUI.INBDT.",fact_contribution_margin_by_segment,,"Carries the sales order line item's material number directly from VBAP.MATNR, flowing unchanged through staging, vault, and mart layers to drive fiber, TV, cable, and business segment classification for CPE contribution margin reporting.",,,,stage_a_derived,"The product identifier assigned to each sales order line, used to categorize items into fiber, TV, cable, or business segments for contribution margin reporting."
S2T-0040,BG030,cpe_contribution_margin_by_segment,KNA1,KTOKD,"Customer master — retained in scope for the secondary segment dimensions only: KTOKD (customer account group: residential/business) and ORT01 (city, 12-city secondary dimension). Tenure is no longer derived from KNA1.ERDAT; instead tenure = months since MIN(VBRK.FKDAT) per KUNAG.",fact_contribution_margin_by_segment,,"This column carries the customer account group classification (residential or business) flowing through unchanged from SAP field KNA1.KTOKD, used exclusively to support secondary segment dimension filtering within the contribution margin by segment reporting structure.",,,,stage_a_derived,"The customer category indicating whether the account belongs to a residential or business customer, used to filter and compare profitability across different customer segments."
S2T-0041,BG030,cpe_contribution_margin_by_segment,EKKO,EBELN,Purchase order header — provides EBELN (PO number) and WAERS (currency) as the header anchor for the device unit cost chain (EKKO → EKPO). Required to filter CPE procurement documents and carry PO-level attributes to the line cost calculation.,fact_contribution_margin_by_segment,,"Carries the purchase order number directly from SAP field EKKO.EBELN, flowing through staging, vault, and mart layers unchanged as the header anchor identifier for CPE contribution margin calculations by segment.",,,,stage_a_derived,"The unique reference number assigned to each purchase order, used to link and calculate profit contribution across different business segments."
S2T-0042,BG030,cpe_contribution_margin_by_segment,EKPO,NETPR,"Purchase order line — provides NETPR (net price per unit, the authoritative device unit purchase cost for straight-line amortization over 24 months per analyst decision #3) and MATKL (CPE material group filter). NETPR is the sole cost numerator in the amortization formula: amortized_monthly_cost = NETPR / 24.",fact_contribution_margin_by_segment,,"Carries the net price per unit sourced directly from SAP field NETPR (EKPO), flowing through staging, vault, and mart layers unchanged as the authoritative device unit purchase cost used in contribution margin by segment calculations.",,,,stage_a_derived,"The purchase price paid per unit of a device, used to calculate how much profit each product segment contributes after costs."
S2T-0043,BG030,cpe_contribution_margin_by_segment,RBKP,BELNR,"Vendor invoice header — provides BELNR (invoice document number), BUDAT (invoice posting date), and LIFNR (vendor); needed to identify posted vendor invoices per the business_filter_description ('posted vendor invoices only'). Also provides the header-level posted status used to filter out unposted or parked invoices.",fact_contribution_margin_by_segment,,This column carries the vendor invoice document number (BELNR) from RBKP unchanged through all pipeline layers into the contribution margin by segment fact table.,,,,stage_a_derived,"The unique reference number assigned to the supplier's invoice, used to trace billing back to the original document."
S2T-0044,BG030,cpe_contribution_margin_by_segment,RSEG,WRBTR,"Vendor invoice line — provides EBELN/EBELP (links to PO line, confirming which PO line items have been invoiced and are therefore 'posted') and MATNR (for CPE material filter at invoice line level). Note: per analyst decision #3, RSEG.WRBTR is NOT used as the device cost basis; EKPO.NETPR is used instead. RSEG remains in scope to identify which PO lines have confirmed posted invoices.",fact_contribution_margin_by_segment,,"This column carries the vendor invoice line amount directly from SAP field RSEG.WRBTR, flowing through staging, vault, and mart layers unchanged to confirm which purchase order lines have posted invoices linked to CPE materials.",,,,stage_a_derived,"The billed amount from the supplier's invoice for a specific purchase order line, used to identify which ordered items have been invoiced and are linked to CPE materials."
S2T-0045,BG030,cpe_contribution_margin_by_segment,MARA,MATKL,"Material master — provides MATKL (material group for 'MATKL LIKE CPE-%' filter) and MTART (material type) to restrict scope to CPE materials across all procurement, billing, and movement legs. Serves as the shared CPE-filter anchor across the cost, revenue, and returns sub-queries.",fact_contribution_margin_by_segment,,"Carries the material group value directly from MARA.MATKL, flowing through staging, vault, and mart layers unchanged to anchor the CPE material scope filter across all cost, revenue, and returns segments.",,,,stage_a_derived,"The product category used to group materials into the correct business segment when calculating contribution margins across costs, revenue, and returns."
S2T-0046,BG030,cpe_contribution_margin_by_segment,EQUI,INBDT,"Equipment master — provides INBDT (date put into service / installation date), which is the deployment start date for the 24-month straight-line amortization window per analyst decision #2. A device is within its amortization window in month M if INBDT <= M < INBDT + 24 months. Joins to SERI via EQUNR.",fact_contribution_margin_by_segment,,"This column carries the equipment installation date directly from SAP field INBDT (EQUI) — the date a device was put into service — flowing through staging, vault, and mart layers unchanged.",,,,stage_a_derived,The date when the equipment was officially installed and put into service at the customer's location.
S2T-0047,BG030,cpe_contribution_margin_by_segment,SERI,EQUNR,"Serial number record — provides the per-unit link from a deployed CPE device's serial number (SERNR, joinable from VBAP.SERNR) to the equipment master (EQUNR → EQUI.INBDT). Per analyst decision #4, SERI is used exclusively in the chain VBAP.SERNR → SERI.SERNR → SERI.EQUNR → EQUI.INBDT. The prior SERI → MSEG join (MBLNR/ZEILE) is removed because cardinality evidence showed catastrophic_fanout (DAR-00539) or no_signal (DAR-00579), making it an invalid per-device join key.",fact_contribution_margin_by_segment,,"This column carries the equipment number directly from SAP field SERI.EQUNR, flowing unchanged through staging, vault, and mart layers as the per-unit link connecting a deployed CPE device's serial number to its equipment master record.",,,,stage_a_derived,"The unique identifier assigned to each customer premises equipment (CPE) device, used to track that specific unit throughout its lifecycle."
S2T-0048,BG030,cpe_contribution_margin_by_segment,MSEG,BWART,"Material document line — retained in scope ONLY for returns cost calculation per analyst decision #4: BWART (movement type; filter to 161/122 for return movements), DMBTR (amount in local currency for returns valuation), and MATNR (CPE material filter). Returns cost is aggregated at material/movement level (not joined per-device to SERI). Joins to MKPF for posting date.",fact_contribution_margin_by_segment,,"Carries the material movement type directly from SAP field MSEG.BWART, flowing through staging, vault, and mart layers unchanged to support filtering of return movements (161/122) in the returns cost calculation underlying contribution margin by segment.",,,,stage_a_derived,The category of stock movement (such as a return or a receipt) used to identify and separate returned goods when calculating the profit contribution for each business segment.
S2T-0049,BG030,cpe_contribution_margin_by_segment,MKPF,BUDAT,"Material document header — provides BUDAT (goods movement posting date) for the returns leg; required as the header for MSEG to get the authoritative posting date for return events. Used solely in the returns cost aggregation sub-query (MSEG BWART 161/122), not in the per-device amortization path.",fact_contribution_margin_by_segment,,"This column carries the goods movement posting date directly from SAP field MKPF.BUDAT, flowing through staging, vault, and mart layers unchanged as the authoritative posting date for customer returns events used in the returns cost aggregation.",,,,stage_a_derived,"The date when a customer return was officially recorded in the system, used to calculate the costs associated with that return."
S2T-0050,BG031,monthly_gmv_by_category,ORDERS,ORDER_PURCHASE_TIMESTAMP,Carries order_purchase_timestamp (month dimension) and order_status (needed to filter out canceled orders); grain anchor for the non-canceled order filter.,,,"Carries the order purchase timestamp directly from ORDERS.ORDER_PURCHASE_TIMESTAMP through staging, vault, and mart layers unchanged, serving as the month-level grain anchor used to attribute gross merchandise value to its corresponding category and period.",,,,stage_a_derived,"The date and time when a customer placed their order, used to group sales revenue by month and product category."
S2T-0051,BG031,monthly_gmv_by_category,ORDER_ITEMS,PRICE,"Carries price (the BRL measure, explicitly excluding freight per definition) and product_id (FK to products); one row per item, summed to produce GMV.",,,"Carries the per-item transaction price directly from the SAP field ORDER_ITEMS.PRICE, flowing through staging, vault, and mart layers unchanged to support monthly gross merchandise value aggregation by category.",,,,stage_a_derived,"The selling price of each individual item at the time it was ordered, used to calculate total sales revenue by product category each month."
S2T-0052,BG031,monthly_gmv_by_category,PRODUCTS,PRODUCT_CATEGORY_NAME,Carries product_category_name (Portuguese) and product_id; the LEFT JOIN source that enables the 'uncategorized' grouping when product_category_name IS NULL.,,,"Carries the product category name directly from SAP field PRODUCT_CATEGORY_NAME through all pipeline layers unchanged, enabling grouping of sales by category — including an 'uncategorized' bucket when no category is assigned.",,,,stage_a_derived,"The name of the product category used to group and total sales revenue each month, shown as 'uncategorized' when a product has not been assigned to a category."
S2T-0053,BG031,monthly_gmv_by_category,CATEGORY_TRANSLATION,PRODUCT_CATEGORY_NAME_ENGLISH,Translates product_category_name (Portuguese) to product_category_name_english; required by the definition's 'per English product category' grain.,,,"Carries the English-language product category name directly from SAP field CATEGORY_TRANSLATION.PRODUCT_CATEGORY_NAME_ENGLISH, enabling gross merchandise value reporting at the per-English-product-category grain.",,,,stage_a_derived,The English name of the product category used to group and report total sales value each month.
S2T-0054,BG033,repeat_customer_rate,ORDERS,ORDER_PURCHASE_TIMESTAMP,Fact table carrying one row per order with order_purchase_timestamp (used to derive the month grain) and customer_id (FK to customers); provides the denominator (all orders) and the date dimension for monthly bucketing.,,,"Carries the original order purchase timestamp directly from the SAP field ORDER_PURCHASE_TIMESTAMP, flowing through staging, vault, and mart layers unchanged to support monthly bucketing and repeat customer rate calculations.",,,,stage_a_derived,"The date and time when a customer originally placed their order, used to identify whether they are a returning customer within a given month."
S2T-0055,BG033,repeat_customer_rate,CUSTOMERS,CUSTOMER_UNIQUE_ID,Carries customer_unique_id — the stable person-level identifier required by the definition to distinguish the same person across multiple orders; customer_id is order-scoped and cannot be used for repeat-customer detection without this table.,,,"Carries the stable person-level identifier sourced directly from SAP field CUSTOMER_UNIQUE_ID, flowing through staging, vault, and mart layers unchanged to support repeat-customer detection across multiple orders.",,,,stage_a_derived,The unique identifier assigned to each customer that allows the business to recognize when the same person has placed more than one order.
S2T-0056,BG031,monthly_gmv_by_category,orders,order_purchase_timestamp,Purchase timestamp (when the order was placed),fact_gmv_by_category_monthly,order_month,"Truncates the order purchase timestamp to the first day of its calendar month, grouping all orders into monthly periods for aggregation.","DATE_TRUNC('month', order_purchase_timestamp)","orders is joined to order_items on order_id (header_detail, safe direction order_items->orders per DAR-00962, avg 1.14 items/order). orders is used solely to supply the purchase timestamp and the cancellation filter — it does not drive the aggregation grain.","WHERE order_status != 'canceled' — confirmed valid by DAR-00973 code_tables analysis (625 canceled rows out of 99,441 total; order_status has zero nulls per DAR-00970)",Generated by Claude create_s2t_with_implementation (confidence: high),"The calendar month in which customer orders were placed, used to group sales activity by month."
S2T-0058,BG031,monthly_gmv_by_category,order_items,price,Item price in BRL (excludes freight),fact_gmv_by_category_monthly,gmv_brl,"The total gross merchandise value in BRL for each category and month, calculated by summing the price of all order items within that grouping.",SUM(price),"order_items is the fact grain. Each row is one item line. Joined to orders on order_id to apply the status filter (header_detail per DAR-00962). Joined to products on product_id (safe direction order_items->products, catastrophic fanout warning applies only to reverse direction per DAR-00963).",Inherit the order_status != 'canceled' filter from orders join. No additional price filter — zero nulls confirmed.,Generated by Claude create_s2t_with_implementation (confidence: high),The total sales value in Brazilian Reais generated within each product category for the month.
S2T-0062,BG031,monthly_gmv_by_category,category_translation,product_category_name_english,English category name — target label for grouping,fact_gmv_by_category_monthly,product_category_english,The English product category name sourced from the category translation reference table.,product_category_english,Resolved via products LEFT JOIN category_translation on product_category_name. The join key in category_translation has 0 nulls and 73 distinct values (DAR-00993). All 73 Portuguese keys match at 1.0 ratio (DAR-00958).,No filter — COALESCE handles the NULL case for uncategorized products.,Generated by Claude create_s2t_with_implementation (confidence: high),"The product category name in English that groups items sold, used to analyze revenue performance across different types of products."
S2T-0063,BG033,repeat_customer_rate,orders,order_id,Unique identifier of the order — used as the unit of counting for numerator and denominator,fact_repeat_customer_rate,total_orders,"Counts the total number of unique orders placed, used as the basis for calculating the repeat customer rate.",COUNT(DISTINCT order_id),"Primary table; one row per order. Joined to customers via customer_id (per_record_key, avg 1.00x per DAR-00959)","Exclude canceled orders (order_status NOT IN ('canceled','unavailable')). See warning on analyst filter decision blocker.",Generated by Claude create_s2t_with_implementation (confidence: medium),The total number of individual orders placed by customers who have purchased more than once.
S2T-0064,BG033,repeat_customer_rate,orders,order_purchase_timestamp,Purchase timestamp — used to derive order month and to determine order sequence per person,fact_repeat_customer_rate,order_month,The order month is taken directly from the order purchase timestamp field as recorded in the orders data.,order_month,Column on orders; no additional join needed,"Zero nulls confirmed (DAR-00931: null_pct=0.0, spans 2016-09-04 to 2018-10-17). No COALESCE needed.",Generated by Claude create_s2t_with_implementation (confidence: medium),"The calendar month in which customer orders were placed, used to track how often existing customers return to make repeat purchases over time."
S2T-0068,BG034,repeat_customer_rate_blind,ORDERS,ORDER_PURCHASE_TIMESTAMP,"Orders table carries order_purchase_timestamp (the 'month of order purchase' grain dimension), order_id (the unit being counted as repeat or not), and customer_id (the FK used to join to customers for person-level identity resolution).",,,"This column carries the repeat_customer_rate_blind value as a direct copy of the SAP field ORDERS.ORDER_PURCHASE_TIMESTAMP, flowing the order purchase timestamp grain unchanged through staging, vault, and mart layers to support month-level identification of customers placing more than one order.",,,,stage_a_derived,"The percentage of customers who placed more than one order within a given month, calculated using the date and time each order was made."
S2T-0069,BG034,repeat_customer_rate_blind,CUSTOMERS,CUSTOMER_UNIQUE_ID,"Customers table carries customer_unique_id — the stable person-level identifier explicitly described in the catalog as 'use this to find repeat customers across orders', distinguishing it from customer_id which is unique per order. This field is the only available mechanism to group multiple orders to a single person and therefore determine whether any given order belongs to a repeat customer.",,,"Carries the stable person-level identifier from SAP field CUSTOMER_UNIQUE_ID, flowing through unchanged from the CUSTOMERS table to support identification of repeat customers across multiple orders.",,,,stage_a_derived,"The unique identifier assigned to each customer, used to recognize when the same person has placed more than one order over time."
S2T-0070,BG032,olist_on_time_delivery_rate,ORDERS,ORDER_ID,"Single source of all required fields: order_id (grain key), order_purchase_timestamp (month bucketing), order_status (filter to 'delivered'), order_delivered_customer_date (actual delivery date, numerator condition), and order_estimated_delivery_date (promised date at purchase, comparison target). The term definition is fully self-contained within this table — no joins are required.",,,"Carries the raw order identifier from SAP field ORDERS.ORDER_ID as a direct pass-through through all pipeline layers, serving as the grain key that anchors each record used to calculate on-time delivery rate from order status, actual delivery date, and estimated delivery date within the same table.",,,,stage_a_derived,"The unique reference number assigned to each customer order, used to track whether that order was delivered on time based on its actual versus expected delivery date."
S2T-0073,BG032,olist_on_time_delivery_rate,orders (via sat_olist_order_header),order_purchase_timestamp,"Purchase timestamp; zero nulls, spans 2016-09-04 to 2018-10-17 (DAR-01024). Monthly grain derived via DATE_TRUNC.",fact_on_time_delivery_monthly,order_month,"Truncates the order purchase timestamp to the first day of its calendar month, grouping orders into monthly buckets for on-time delivery analysis.","DATE_TRUNC('month', order_purchase_timestamp)",Attribute column on sat_olist_order_header,Not filtered; used as GROUP BY key,Generated by Claude create_s2t_with_implementation (confidence: high),"The calendar month in which the customer placed their order, used to group and analyze delivery performance over time."
S034,BG031,monthly_gmv_by_category,,,,fact_gmv_by_category_monthly,item_count,Counts the total number of line items included in the monthly GMV aggregation for each category.,COUNT(*),,,Auto-placeholder: needs business rule authorship,The total number of individual items sold within each product category during the month.
S035,BG031,monthly_gmv_by_category,LINK_OLIST_ORDER_ITEM,ORDER_ID,,fact_gmv_by_category_monthly,order_count,Counts the number of unique orders included in each monthly category record.,COUNT(DISTINCT order_id),,,Auto-placeholder: needs business rule authorship,The total number of unique customer orders placed within each product category for the month.
S039,BG033,repeat_customer_rate,100,0,,fact_repeat_customer_rate,repeat_customer_rate_pct,"The percentage of all distinct orders that were placed by repeat customers, calculated by dividing the count of repeat orders by the total count of orders and multiplying by 100, rounded to two decimal places.","ROUND(
        100.0
        * COUNT(DISTINCT CASE WHEN is_repeat_order THEN order_id END)
        / NULLIF(COUNT(DISTINCT order_id), 0)
    , 2)",,,Auto-placeholder: needs business rule authorship,"The percentage of all orders that were placed by customers who have ordered more than once, showing how well the business retains and re-engages its customers."
S040,BG033,repeat_customer_rate,HUB_OLIST_ORDER,ORDER_ID,,fact_repeat_customer_rate,repeat_orders,"Counts the number of distinct orders that are flagged as repeat orders (i.e., placed by a customer who has ordered more than once).",COUNT(DISTINCT CASE WHEN is_repeat_order THEN order_id END),,,Auto-placeholder: needs business rule authorship,The number of orders placed by customers who have purchased from the business before.
S2T-0074,BG032,olist_on_time_delivery_rate,,,,fact_on_time_delivery_monthly,delivered_orders,Counts the total number of delivered orders recorded for the month.,COUNT(*),,,Backfilled from column lineage after the numeric-literal origin fix (review round 3).,The total number of customer orders that were successfully delivered during the measured period.
S2T-0075,BG032,olist_on_time_delivery_rate,SAT_OLIST_ORDER_HEADER,ORDER_DELIVERED_CUSTOMER_DATE,,fact_on_time_delivery_monthly,on_time_orders,Counts the total number of orders that were delivered to the customer on time within each monthly period.,SUM(is_on_time),,,Backfilled from column lineage after the numeric-literal origin fix (review round 3).,The total number of customer orders that were delivered on or before the promised delivery date.
S2T-0076,BG032,olist_on_time_delivery_rate,SAT_OLIST_ORDER_HEADER,ORDER_DELIVERED_CUSTOMER_DATE,,fact_on_time_delivery_monthly,on_time_delivery_rate_pct,"Calculates the percentage of orders delivered on time within each monthly period by dividing the count of on-time deliveries by the total number of orders, expressed as a percentage rounded to four decimal places.","ROUND(
        100.0 * SUM(is_on_time) / NULLIF(COUNT(*), 0),
        4
    )",,,Backfilled from column lineage after the numeric-literal origin fix (review round 3).,The percentage of customer orders that were delivered on or before the promised delivery date.
