table_name,module,table_category,source_release_stamp,brief_description,key_fields,brief_field_descriptions,scrape_source,scrape_date
MARC,materials,TRANSP,2013-05-29,Plant Data for Material,"MANDT, MATNR, WERKS, PSTAT, LVORM, BWTTY, XCHAR, MMSTA, MMSTD, MAABC, KZKRI, EKGRP, AUSME, DISPR, DISMM, DISPO, KZDIE, PLIFZ","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""PSTAT"": ""Maintenance status"", ""LVORM"": ""Flag Material for Deletion at Plant Level"", ""BWTTY"": ""Valuation Category"", ""XCHAR"": ""Batch management indicator (internal)"", ""MMSTA"": ""Plant-Specific Material Status"", ""MMSTD"": ""Date from which the plant-specific material status is valid"", ""MAABC"": ""ABC indicator"", ""KZKRI"": ""Indicator: Critical part"", ""EKGRP"": ""Purchasing group"", ""AUSME"": ""Unit of issue"", ""DISPR"": ""Material: MRP profile"", ""DISMM"": ""MRP Type"", ""DISPO"": ""MRP controller"", ""KZDIE"": ""Indicator: MRP controller is buyer (deactivated)"", ""PLIFZ"": ""Planned delivery time in days""}",sapdatasheet.org,2026-04-27
MARD,materials,TRANSP,2011-09-01,Storage Location Data for Material,"MANDT, MATNR, WERKS, LGORT, PSTAT, LVORM, LFGJA, LFMON, SPERR, LABST, UMLME, INSME, EINME, SPEME, RETME, VMLAB, VMUML, VMINS","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""PSTAT"": ""Maintenance status"", ""LVORM"": ""Flag Material for Deletion at Storage Location Level"", ""LFGJA"": ""Fiscal Year of Current Period"", ""LFMON"": ""Current period (posting period)"", ""SPERR"": ""Physical inventory blocking indicator"", ""LABST"": ""Valuated Unrestricted-Use Stock"", ""UMLME"": ""Stock in transfer (from one storage location to another)"", ""INSME"": ""Stock in Quality Inspection"", ""EINME"": ""Total Stock of All Restricted Batches"", ""SPEME"": ""Blocked stock"", ""RETME"": ""Blocked Stock Returns"", ""VMLAB"": ""Valuated unrestricted-use stock in previous period"", ""VMUML"": ""Stock in transfer, previous period"", ""VMINS"": ""Stock in quality inspection from previous period""}",sapdatasheet.org,2026-04-27
MARM,materials,TRANSP,2013-05-29,Units of Measure for Material,"MANDT, MATNR, MEINH, UMREZ, UMREN, EANNR, EAN11, NUMTP, LAENG, BREIT, HOEHE, MEABM, VOLUM, VOLEH, BRGEW, GEWEI, MESUB, ATINN","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""MEINH"": ""Alternative Unit of Measure for Stockkeeping Unit"", ""UMREZ"": ""Numerator for Conversion to Base Units of Measure"", ""UMREN"": ""Denominator for conversion to base units of measure"", ""EANNR"": ""European Article Number (EAN) - obsolete!!!!!"", ""EAN11"": ""International Article Number (EAN/UPC)"", ""NUMTP"": ""Category of International Article Number (EAN)"", ""LAENG"": ""Length"", ""BREIT"": ""Width"", ""HOEHE"": ""Height"", ""MEABM"": ""Unit of Dimension for Length/Width/Height"", ""VOLUM"": ""Volume"", ""VOLEH"": ""Volume unit"", ""BRGEW"": ""Gross weight"", ""GEWEI"": ""Weight Unit"", ""MESUB"": ""Lower-Level Unit of Measure in a Packing Hierarchy"", ""ATINN"": ""Internal characteristic""}",sapdatasheet.org,2026-04-27
MCHB,materials,TRANSP,2011-09-01,Batch Stocks,"MANDT, MATNR, WERKS, LGORT, CHARG, LVORM, ERSDA, ERNAM, LAEDA, AENAM, LFGJA, LFMON, SPERC, CLABS, CUMLM, CINSM, CEINM, CSPEM","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""CHARG"": ""Batch Number"", ""LVORM"": ""Deletion Flag for All Data on a Batch Stock"", ""ERSDA"": ""Created On"", ""ERNAM"": ""Name of Person who Created the Object"", ""LAEDA"": ""Date of Last Change"", ""AENAM"": ""Name of Person Who Changed Object"", ""LFGJA"": ""Fiscal Year of Current Period"", ""LFMON"": ""Current period (posting period)"", ""SPERC"": ""Physical inventory blocking indicator"", ""CLABS"": ""Valuated Unrestricted-Use Stock"", ""CUMLM"": ""Stock in transfer (from one storage location to another)"", ""CINSM"": ""Stock in Quality Inspection"", ""CEINM"": ""Total Stock of All Restricted Batches"", ""CSPEM"": ""Blocked stock""}",sapdatasheet.org,2026-04-27
MKPF,materials,TRANSP,2011-09-01,Header: Material Document,"MANDT, MBLNR, MJAHR, VGART, BLART, BLAUM, BLDAT, BUDAT, CPUDT, CPUTM, AEDAT, USNAM, TCODE, XBLNR, BKTXT, FRATH, FRBNR, WEVER","{""MANDT"": ""Client"", ""MBLNR"": ""Number of Material Document"", ""MJAHR"": ""Year of material document"", ""VGART"": ""Transaction/Event Type"", ""BLART"": ""Document type"", ""BLAUM"": ""Document type of revaluation document"", ""BLDAT"": ""Document Date in Document"", ""BUDAT"": ""Posting Date in the Document"", ""CPUDT"": ""Accounting document entry date"", ""CPUTM"": ""Time of data entry"", ""AEDAT"": ""Last Changed On"", ""USNAM"": ""User name"", ""TCODE"": ""Not More Closely Defined Area, Possibly Used for Patchlevels"", ""XBLNR"": ""Reference Document Number"", ""BKTXT"": ""Document Header Text"", ""FRATH"": ""Unplanned Delivery Costs"", ""FRBNR"": ""Number of Bill of Lading at Time of Goods Receipt"", ""WEVER"": ""Version for Printing GR/GI Slip""}",sapdatasheet.org,2026-04-27
MSEG,materials,TRANSP,2013-05-29,Document Segment: Material,"MANDT, MBLNR, MJAHR, ZEILE, LINE_ID, PARENT_ID, LINE_DEPTH, MAA_URZEI, BWART, XAUTO, MATNR, WERKS, LGORT, CHARG, INSMK, ZUSCH, ZUSTD, SOBKZ","{""MANDT"": ""Client"", ""MBLNR"": ""Number of Material Document"", ""MJAHR"": ""Year of material document"", ""ZEILE"": ""Item in material document"", ""LINE_ID"": ""Unique identification of document line"", ""PARENT_ID"": ""Identifier of immediately superior line"", ""LINE_DEPTH"": ""Hierarchy level of line in document"", ""MAA_URZEI"": ""Original Line for Account Assignment Item in Material Doc."", ""BWART"": ""Movement type (inventory management)"", ""XAUTO"": ""Item automatically created"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""CHARG"": ""Batch Number"", ""INSMK"": ""Stock Type"", ""ZUSCH"": ""Batch status key"", ""ZUSTD"": ""Batch in Restricted-Use Stock"", ""SOBKZ"": ""Special Stock Indicator""}",sapdatasheet.org,2026-04-27
MSKA,materials,TRANSP,2011-09-01,Sales Order Stock,"MANDT, MATNR, WERKS, LGORT, CHARG, SOBKZ, VBELN, POSNR, LFGJA, LFMON, KASPR, KALAB, KAINS, KASPE, KAVLA, KAVIN, KAVSP, KAILL","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""CHARG"": ""Batch Number"", ""SOBKZ"": ""Special Stock Indicator"", ""VBELN"": ""Sales and Distribution Document Number"", ""POSNR"": ""Item number of the SD document"", ""LFGJA"": ""Fiscal Year of Current Period"", ""LFMON"": ""Current period (posting period)"", ""KASPR"": ""Physical inventory blocking indicator"", ""KALAB"": ""Valuated Unrestricted-Use Stock"", ""KAINS"": ""Stock in Quality Inspection"", ""KASPE"": ""Blocked stock"", ""KAVLA"": ""Valuated unrestricted-use stock in previous period"", ""KAVIN"": ""Stock in quality inspection from previous period"", ""KAVSP"": ""Blocked stock of previous period"", ""KAILL"": ""Physical inventory indicator for whse stock in current year""}",sapdatasheet.org,2026-04-27
MVKE,materials,TRANSP,2011-09-01,Sales Data for Material,"MANDT, MATNR, VKORG, VTWEG, LVORM, VERSG, BONUS, PROVG, SKTOF, VMSTA, VMSTD, AUMNG, LFMNG, EFMNG, SCMNG, SCHME, VRKME, MTPOS","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""VKORG"": ""Sales Organization"", ""VTWEG"": ""Distribution Channel"", ""LVORM"": ""Ind.: Flag material for deletion at distribution chain level"", ""VERSG"": ""Material statistics group"", ""BONUS"": ""Volume rebate group"", ""PROVG"": ""Commission group"", ""SKTOF"": ""Cash discount indicator"", ""VMSTA"": ""Distribution-chain-specific material status"", ""VMSTD"": ""Date from which distr.-chain-spec. material status is valid"", ""AUMNG"": ""Minimum order quantity in base unit of measure"", ""LFMNG"": ""Minimum delivery quantity in delivery note processing"", ""EFMNG"": ""Minimum make-to-order quantity"", ""SCMNG"": ""Delivery unit"", ""SCHME"": ""Unit of measure of delivery unit"", ""VRKME"": ""Sales unit"", ""MTPOS"": ""Item category group from material master""}",sapdatasheet.org,2026-04-27
OBJK,equipment_serial,TRANSP,2010-03-10,Plant Maintenance Object List,"MANDT, OBKNR, OBZAE, EQUNR, IHNUM, BAUTL, ILOAN, SORTF, BEARB, OBJVW, SERNR, MATNR, DATUM, EQSNR, TASER, UII","{""MANDT"": ""Client"", ""OBKNR"": ""Object list number"", ""OBZAE"": ""Object list counters"", ""EQUNR"": ""Equipment Number"", ""IHNUM"": ""Message Number"", ""BAUTL"": ""Assembly"", ""ILOAN"": ""Location and account assignment for technical object"", ""SORTF"": ""Object list sort field"", ""BEARB"": ""Processing indicator"", ""OBJVW"": ""Object list usage"", ""SERNR"": ""Serial Number"", ""MATNR"": ""Material Number"", ""DATUM"": ""Date"", ""EQSNR"": ""EQSE Number"", ""TASER"": ""Table for Serial Numbers"", ""UII"": ""Unique Item Identifier""}",sapdatasheet.org,2026-04-27
RBKP,accounting,TRANSP,2011-09-08,Document Header: Invoice Receipt,"MANDT, BELNR, GJAHR, BLART, BLDAT, BUDAT, USNAM, TCODE, CPUDT, CPUTM, VGART, XBLNR, BUKRS, LIFNR, WAERS, KURSF, RMWWR, BEZNK","{""MANDT"": ""Client"", ""BELNR"": ""Document Number of an Invoice Document"", ""GJAHR"": ""Fiscal Year"", ""BLART"": ""Document type"", ""BLDAT"": ""Document Date in Document"", ""BUDAT"": ""Posting Date in the Document"", ""USNAM"": ""User name"", ""TCODE"": ""Transaction Code"", ""CPUDT"": ""Accounting document entry date"", ""CPUTM"": ""Time of data entry"", ""VGART"": ""Transaction Type in AG08 (Internal Document Type)"", ""XBLNR"": ""Reference Document Number"", ""BUKRS"": ""Company Code"", ""LIFNR"": ""Different Invoicing Party"", ""WAERS"": ""Currency Key"", ""KURSF"": ""Exchange rate"", ""RMWWR"": ""Gross invoice amount in document currency"", ""BEZNK"": ""Unplanned delivery costs""}",sapdatasheet.org,2026-04-27
RESB,inventory_warehouse,TRANSP,2013-05-29,Reservation/dependent requirements,"MANDT, RSNUM, RSPOS, RSART, BDART, RSSTA, XLOEK, XWAOK, KZEAR, XFEHL, MATNR, WERKS, LGORT, PRVBE, CHARG, PLPLA, SOBKZ, BDTER","{""MANDT"": ""Client"", ""RSNUM"": ""Number of reservation/dependent requirements"", ""RSPOS"": ""Item Number of Reservation / Dependent Requirements"", ""RSART"": ""Record type"", ""BDART"": ""Requirement type"", ""RSSTA"": ""Status of reservation"", ""XLOEK"": ""Item is deleted"", ""XWAOK"": ""Goods movement for reservation allowed"", ""KZEAR"": ""Final issue for this reservation"", ""XFEHL"": ""Pre-allocated stock"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""PRVBE"": ""Production Supply Area"", ""CHARG"": ""Batch Number"", ""PLPLA"": ""Distribution of Differences"", ""SOBKZ"": ""Special Stock Indicator"", ""BDTER"": ""Requirements date for the component""}",sapdatasheet.org,2026-04-27
RKPF,inventory_warehouse,TRANSP,2011-09-01,Document Header: Reservation,"MANDT, RSNUM, KZVER, XCALE, RSDAT, USNAM, BWART, WEMPF, KOSTL, PROJN, ANLN1, ANLN2, KUNNR, EBELN, EBELP, AUFNR, KDAUF, KDPOS","{""MANDT"": ""Client"", ""RSNUM"": ""Number of reservation/dependent requirements"", ""KZVER"": ""Origin"", ""XCALE"": ""Check date against factory calendar"", ""RSDAT"": ""Base date for reservation"", ""USNAM"": ""User name"", ""BWART"": ""Movement type (inventory management)"", ""WEMPF"": ""Goods recipient"", ""KOSTL"": ""Cost Center"", ""PROJN"": ""Old: Project number : No longer used --> PS_POSNR"", ""ANLN1"": ""Main Asset Number"", ""ANLN2"": ""Asset Subnumber"", ""KUNNR"": ""Account number of customer"", ""EBELN"": ""Purchase order number"", ""EBELP"": ""Item Number of Purchasing Document"", ""AUFNR"": ""Order Number"", ""KDAUF"": ""Sales Order Number"", ""KDPOS"": ""Item number in Sales Order""}",sapdatasheet.org,2026-04-27
RSEG,accounting,TRANSP,2013-05-29,Document Item: Incoming Invoice,"MANDT, BELNR, GJAHR, BUZEI, EBELN, EBELP, ZEKKN, MATNR, BWKEY, BWTAR, BUKRS, WERKS, WRBTR, SHKZG, MWSKZ, TXJCD, MENGE, BSTME","{""MANDT"": ""Client"", ""BELNR"": ""Accounting Document Number"", ""GJAHR"": ""Fiscal Year"", ""BUZEI"": ""Document Item in Invoice Document"", ""EBELN"": ""Purchasing Document Number"", ""EBELP"": ""Item Number of Purchasing Document"", ""ZEKKN"": ""Sequential Number of Account Assignment"", ""MATNR"": ""Material Number"", ""BWKEY"": ""Valuation area"", ""BWTAR"": ""Valuation type"", ""BUKRS"": ""Company Code"", ""WERKS"": ""Plant"", ""WRBTR"": ""Amount in document currency"", ""SHKZG"": ""Debit/Credit Indicator"", ""MWSKZ"": ""Tax on sales/purchases code"", ""TXJCD"": ""Tax Jurisdiction"", ""MENGE"": ""Quantity"", ""BSTME"": ""Order unit""}",sapdatasheet.org,2026-04-27
SER01,equipment_serial,TRANSP,2013-05-29,Document Header for Serial Numbers for Delivery,"MANDT, OBKNR, LIEF_NR, POSNR, DATUM, LETZNR, KUNDE, ANZSN, VORGANG, UZEIT, VBTYP, BWART, VKORG, VTWEG, SPART, LTSPS","{""MANDT"": ""Client"", ""OBKNR"": ""Object list number"", ""LIEF_NR"": ""Delivery"", ""POSNR"": ""Delivery Item"", ""DATUM"": ""Date"", ""LETZNR"": ""Counter key"", ""KUNDE"": ""Customer Number"", ""ANZSN"": ""Number of serial numbers"", ""VORGANG"": ""Serialization Procedure for Serial Number Management"", ""UZEIT"": ""Time"", ""VBTYP"": ""SD document category"", ""BWART"": ""Movement type (inventory management)"", ""VKORG"": ""Sales Organization"", ""VTWEG"": ""Distribution Channel"", ""SPART"": ""Division"", ""LTSPS"": ""Indicator : stockable type switched into standard product""}",sapdatasheet.org,2026-04-27
SER02,equipment_serial,TRANSP,2013-05-29,Document Header for Serial Nos for Maint.Contract (SD Order),"MANDT, OBKNR, SDAUFNR, POSNR, DATUM, LETZNR, KUNDE, ANZSN, VORGANG, VBTYP, SD_AUART, SD_POSTYP, VKORG, VTWEG, SPART, LTSPS","{""MANDT"": ""Client"", ""OBKNR"": ""Object list number"", ""SDAUFNR"": ""Sales Document"", ""POSNR"": ""Sales Document Item"", ""DATUM"": ""Date"", ""LETZNR"": ""Counter key"", ""KUNDE"": ""Partner number (KUNNR, LIFNR, or PERNR)"", ""ANZSN"": ""Number of serial numbers"", ""VORGANG"": ""Serialization Procedure for Serial Number Management"", ""VBTYP"": ""SD document category"", ""SD_AUART"": ""Sales Document Type"", ""SD_POSTYP"": ""Sales document item category"", ""VKORG"": ""Sales Organization"", ""VTWEG"": ""Distribution Channel"", ""SPART"": ""Division"", ""LTSPS"": ""Indicator : stockable type switched into standard product""}",sapdatasheet.org,2026-04-27
SER03,equipment_serial,TRANSP,2011-09-01,Document Header for Serial Numbers for Goods Movements,"MANDT, OBKNR, MBLNR, MJAHR, ZEILE, BLART, BWART, SHKZG, DATUM, UZEIT, LETZNR, ANZSN, VORGANG, LIEFERANT, KUNDE, WERK, LAGERORT, CHARGE","{""MANDT"": ""Client"", ""OBKNR"": ""Object list number"", ""MBLNR"": ""Number of Material Document"", ""MJAHR"": ""Year of material document"", ""ZEILE"": ""Item in material document"", ""BLART"": ""Document type"", ""BWART"": ""Movement type (inventory management)"", ""SHKZG"": ""Debit/Credit Indicator"", ""DATUM"": ""Date"", ""UZEIT"": ""Time"", ""LETZNR"": ""Counter key"", ""ANZSN"": ""Number of serial numbers"", ""VORGANG"": ""Serialization Procedure for Serial Number Management"", ""LIEFERANT"": ""Vendor number"", ""KUNDE"": ""Customer Number"", ""WERK"": ""Plant"", ""LAGERORT"": ""Storage location"", ""CHARGE"": ""Batch Number""}",sapdatasheet.org,2026-04-27
SERI,equipment_serial,TRANSP,1999-04-21,Serial Numbers,"MANDT, MATNR, SERNR, ERNAM, ERDAT, AENAM, AEDAT, EQUNR, STATUS, WERK, LAGER, CHARGE, KUNDE, SDBELN, WABELN, BLART","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""SERNR"": ""Serial Number"", ""ERNAM"": ""Name of Person who Created the Object"", ""ERDAT"": ""Date on which the record was created"", ""AENAM"": ""Name of Person Who Changed Object"", ""AEDAT"": ""Last Changed On"", ""EQUNR"": ""Equipment Number"", ""STATUS"": ""Status of Serial Number Managment"", ""WERK"": ""Plant"", ""LAGER"": ""Storage location"", ""CHARGE"": ""Batch Number"", ""KUNDE"": ""Sold-to party"", ""SDBELN"": ""Delivery"", ""WABELN"": ""Number of Material Document"", ""BLART"": ""Document type""}",sapdatasheet.org,2026-04-27
T001,org_master,TRANSP,2014-10-13,Company Codes,"MANDT, BUKRS, BUTXT, ORT01, LAND1, WAERS, SPRAS, KTOPL, BUVAR, FDBUK, XFDIS, WAABW, XVALV, XSKFN, KKBER, XMWSN, PERIV, KOKFI","{""MANDT"": ""Client"", ""BUKRS"": ""Company Code"", ""BUTXT"": ""Name of Company Code or Company"", ""ORT01"": ""City"", ""LAND1"": ""Country Key"", ""WAERS"": ""Currency Key"", ""SPRAS"": ""Language Key"", ""KTOPL"": ""Chart of Accounts"", ""BUVAR"": ""Company Code Variant (Screen)"", ""FDBUK"": ""Cash Management and Forecast Company Code"", ""XFDIS"": ""Indicator: Cash Management activated?"", ""WAABW"": ""Maximum exchange rate deviation in percent"", ""XVALV"": ""Indicator: Propose current date as value date ?"", ""XSKFN"": ""Indicator: Discount base amount is the net value"", ""KKBER"": ""Credit control area"", ""XMWSN"": ""Indicator: Base amount for tax is net of discount ?"", ""PERIV"": ""Fiscal Year Variant"", ""KOKFI"": ""Allocation Indicator""}",sapdatasheet.org,2026-04-27
T001L,org_master,TRANSP,2011-09-01,Storage Locations,"MANDT, WERKS, LGORT, LGOBE, SPART, XLONG, XBUFX, DISKZ, XBLGO, XRESS, XHUPF, PARLG, VKORG, VTWEG, VSTEL, LIFNR, KUNNR, MESBS","{""MANDT"": ""Client"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""LGOBE"": ""Description of Storage Location"", ""SPART"": ""Division"", ""XLONG"": ""Negative stocks allowed in storage location"", ""XBUFX"": ""Freezing book inventory bal. allowed in stor. loc."", ""DISKZ"": ""Storage location MRP indicator"", ""XBLGO"": ""Storage Location Authorization for Goods Movements Active"", ""XRESS"": ""Storage Location Is Allocated to Resource (Storage Resource)"", ""XHUPF"": ""Indicator: handling unit requirement"", ""PARLG"": ""Partner Storage Location of Handling Unit"", ""VKORG"": ""Sales Organization"", ""VTWEG"": ""Distribution Channel"", ""VSTEL"": ""Shipping Point/Receiving Point"", ""LIFNR"": ""Vendor's account number"", ""KUNNR"": ""Account number of customer"", ""MESBS"": ""Business System of MES""}",sapdatasheet.org,2026-04-27
T001W,org_master,TRANSP,2013-06-04,Plants/Branches,"MANDT, WERKS, NAME1, NAME2, STRAS, PFACH, PSTLZ, ORT01, EKORG, BWKEY, VKORG, CHAZV, FABKL, KKOWK, KORDB, BEDPL, LAND1, REGIO","{""MANDT"": ""Client"", ""WERKS"": ""Plant"", ""NAME1"": ""Name"", ""NAME2"": ""Name 2"", ""STRAS"": ""House number and street"", ""PFACH"": ""PO Box"", ""PSTLZ"": ""Postal Code"", ""ORT01"": ""City"", ""EKORG"": ""Purchasing organization"", ""BWKEY"": ""Valuation area"", ""VKORG"": ""Sales organization for intercompany billing"", ""CHAZV"": ""Indicator: batch status management active"", ""FABKL"": ""Factory calendar key"", ""KKOWK"": ""Indicator: Conditions at plant level"", ""KORDB"": ""Indicator: Source list requirement"", ""BEDPL"": ""Activating requirements planning"", ""LAND1"": ""Country Key"", ""REGIO"": ""Region (State, Province, County)""}",sapdatasheet.org,2026-04-27
T023,org_master,TRANSP,2011-09-08,Material Groups,"MANDT, MATKL, SPART, LREF3, WWGDA, WWGPA, ABTNR, BEGRU, GEWEI, J_1BNBM, BKLAS, EKWSL, ANLKL","{""MANDT"": ""Client"", ""MATKL"": ""Material Group"", ""SPART"": ""Division"", ""LREF3"": ""Material group-related supply relat. between plants /DEACT."", ""WWGDA"": ""Material group reference material"", ""WWGPA"": ""Material group material"", ""ABTNR"": ""Department number"", ""BEGRU"": ""Authorization Group"", ""GEWEI"": ""Default unit of weight in the material master"", ""J_1BNBM"": ""Brazilian NCM Code"", ""BKLAS"": ""Valuation Class"", ""EKWSL"": ""Purchasing Value Key"", ""ANLKL"": ""Default: Asset Class for Creation of Asset""}",sapdatasheet.org,2026-04-27
T024,org_master,TRANSP,1999-11-22,Purchasing Groups,"MANDT, EKGRP, EKNAM, EKTEL, LDEST, TELFX","{""MANDT"": ""Client"", ""EKGRP"": ""Purchasing group"", ""EKNAM"": ""Description of purchasing group"", ""EKTEL"": ""Telephone number of purchasing group (buyer group)"", ""LDEST"": ""Spool: Output device"", ""TELFX"": ""Fax number of purchasing (buyer) group""}",sapdatasheet.org,2026-04-27
T024E,org_master,TRANSP,2003-01-14,Purchasing Organizations,"MANDT, EKORG, EKOTX, BUKRS, TXADR, TXKOP, TXFUS, TXGRU, KALSE, MKALS, BPEFF","{""MANDT"": ""Client"", ""EKORG"": ""Purchasing organization"", ""EKOTX"": ""Description of purchasing organization"", ""BUKRS"": ""Company Code"", ""TXADR"": ""Text Name: Sender Line"", ""TXKOP"": ""Text Name: Letter Heading"", ""TXFUS"": ""Text Name: Footer Lines"", ""TXGRU"": ""Text Name: Complimentary Close"", ""KALSE"": ""Group for Calculation Schema (Purchasing Organization)"", ""MKALS"": ""Calculation Schema for Market Price"", ""BPEFF"": ""Effective Price""}",sapdatasheet.org,2026-04-27
T156,org_master,TRANSP,2013-05-29,Movement Type,"MANDT, BWART, SHKZG, KZWES, KZVBU, KZDRU, KZKON, CHNEU, KZZDE, RSTYP, SELPA, XLAUT, KZSTR, KZGRU, XINVB, QSSBW, KZBWA, XSTBW","{""MANDT"": ""Client"", ""BWART"": ""Movement type (inventory management)"", ""SHKZG"": ""Debit/Credit Indicator"", ""KZWES"": ""GR blocked stock"", ""KZVBU"": ""Consumption Posting"", ""KZDRU"": ""Printing of document item"", ""KZKON"": ""Display or suppress account field/manual account assignment"", ""CHNEU"": ""Control: create batch (automatically/manually)"", ""KZZDE"": ""Maintain status data of a batch"", ""RSTYP"": ""Account assignment of reservation"", ""SELPA"": ""Selection parameter for purchasing lists"", ""XLAUT"": ""Automatic creation of storage location allowed"", ""KZSTR"": ""Transaction/event is relevant to statistics"", ""KZGRU"": ""Control: Reason for movement"", ""XINVB"": ""Generate physical inventory document for material doc. item"", ""QSSBW"": ""Inspection by quality assurance"", ""KZBWA"": ""Movement type category"", ""XSTBW"": ""Reversal transaction type""}",sapdatasheet.org,2026-04-27
